date,service,cost,cpu_usage,memory_usage,storage_gb,network_gb
2025-08-07,Lambda,106.2,40.35,50.63,239.11,6.72
2025-08-08,RDS,128.15,30.93,57.23,160.46,9.24
2025-08-09,RDS,88.39,52.45,50.93,161.01,8.96
2025-08-10,RDS,81.33,82.49,26.92,254.1,11.47
2025-08-11,S3,73.32,56.46,73.46,132.52,12.06
2025-08-12,Lambda,122.44,44.95,79.12,179.24,7.48
2025-08-13,S3,109.82,44.16,69.77,201.7,10.2
2025-08-14,S3,99.17,18.74,42.93,205.57,3.94
2025-08-15,EC2,104.2,67.66,56.98,191.05,14.33
2025-08-16,S3,83.12,48.44,59.9,219.79,8.46
2025-08-17,EC2,136.69,46.39,68.98,234.64,10.17
2025-08-18,EC2,101.94,100.0,70.03,236.73,9.07
2025-08-19,S3,101.64,55.98,48.99,150.71,13.44
2025-08-20,Lambda,110.89,34.96,61.23,185.79,1.49
2025-08-21,Lambda,107.22,41.47,66.86,259.74,9.95
2025-08-22,Lambda,103.36,72.97,81.84,244.73,9.68
2025-08-23,Lambda,88.14,52.27,70.57,131.36,8.64
2025-08-24,Lambda,107.07,21.23,71.84,217.57,15.18
2025-08-25,S3,128.23,68.38,61.26,101.09,7.34
2025-08-26,S3,120.18,36.64,81.16,202.35,12.32
2025-08-27,RDS,123.9,87.47,66.15,294.89,11.07
2025-08-28,Lambda,92.33,71.6,47.08,152.61,13.78
2025-08-29,S3,85.16,41.05,81.05,158.28,8.0
2025-08-30,RDS,629.8056557031275,98.15294348654271,70.47,238.2,7.8
2025-08-31,Lambda,100.84,51.36,53.35,122.86,13.29
2025-09-01,EC2,116.41,67.06,52.81,168.36,11.28
2025-09-02,RDS,74.61,59.69,64.45,229.82,5.37
2025-09-03,S3,122.94,33.07,66.95,168.29,8.38
2025-09-04,EC2,97.63,37.13,62.96,188.2,11.16
2025-09-05,EC2,93.6,70.6,64.67,237.21,12.51
2025-09-06,EC2,84.82,43.3,85.5,221.08,7.96
2025-09-07,RDS,75.18,41.93,76.07,213.34,1.26
2025-09-08,S3,112.35,30.9,62.86,183.04,11.57
2025-09-09,EC2,732.1050039072708,98.30984919725317,74.12,218.5,6.34
2025-09-10,Lambda,80.65,91.25,44.51,193.81,3.95
2025-09-11,EC2,80.57,28.65,65.97,222.89,1.5
2025-09-12,EC2,94.96,50.48,87.14,175.15,12.44
2025-09-13,RDS,125.04,78.24,56.73,190.87,10.39
2025-09-14,RDS,96.11,48.41,47.29,150.5,9.32
2025-09-15,S3,77.45,59.05,50.22,198.25,14.17
2025-09-16,Lambda,581.5001986622657,99.0530192413008,43.66,159.45,11.91
2025-09-17,RDS,95.91,58.57,48.23,144.3,14.85
2025-09-18,EC2,59.55,46.26,54.44,212.93,5.82
2025-09-19,S3,99.19,69.71,38.92,210.64,9.9
2025-09-20,EC2,96.54,73.75,60.23,239.14,5.15
2025-09-21,EC2,110.44,100.0,73.53,178.44,9.31
2025-09-22,RDS,127.73,61.59,46.38,220.4,9.25
2025-09-23,S3,116.9,56.52,82.79,227.54,11.88
2025-09-24,Lambda,95.97,53.89,67.66,222.24,10.14
2025-09-25,Lambda,83.4,42.94,75.46,158.72,11.87
2025-09-26,RDS,138.6,56.77,50.13,207.47,12.11
2025-09-27,RDS,100.89,44.09,72.82,218.21,16.46
2025-09-28,S3,100.21,53.37,43.62,200.36,9.05
2025-09-29,Lambda,99.64,76.35,73.35,95.68,7.18
2025-09-30,Lambda,102.97,29.87,62.58,208.02,10.74
2025-10-01,Lambda,97.83,72.8,68.3,310.63,7.59
2025-10-02,EC2,91.4,76.34,42.37,182.0,14.45
2025-10-03,Lambda,91.8,47.64,46.57,163.6,9.15
2025-10-04,EC2,99.51,7.56,68.96,218.67,8.3
2025-10-05,S3,91.85,37.84,45.77,215.62,8.59
2025-10-06,EC2,89.31,75.94,66.95,259.64,12.16
2025-10-07,S3,101.6,49.54,39.49,137.11,9.53
2025-10-08,Lambda,96.18,30.01,72.72,236.57,8.07
2025-10-09,Lambda,122.56,39.9,41.51,229.52,15.0
2025-10-10,S3,60.24,66.81,68.28,192.89,7.43
2025-10-11,RDS,116.37,60.93,69.38,216.93,10.11
2025-10-12,S3,118.69,45.22,49.55,251.47,11.96
2025-10-13,RDS,68.9,42.66,68.73,243.62,5.11
2025-10-14,EC2,94.86,42.16,63.91,142.85,11.44
2025-10-15,EC2,94.43,31.55,51.92,241.01,6.83
2025-10-16,EC2,78.89,82.31,44.87,196.77,12.47
2025-10-17,Lambda,88.33,43.55,30.56,203.64,7.11
2025-10-18,EC2,83.34,74.34,65.24,203.66,12.08
2025-10-19,RDS,126.28,80.43,36.53,192.49,13.32
2025-10-20,EC2,114.04,69.97,61.43,259.59,12.58
2025-10-21,S3,119.07,41.37,56.05,195.81,10.75
2025-10-22,S3,110.83,58.07,70.19,144.02,9.31
2025-10-23,Lambda,83.06,49.52,55.47,180.32,8.27
2025-10-24,S3,92.13,31.93,55.06,208.93,14.41
2025-10-25,RDS,107.34,56.49,70.98,261.46,7.9
2025-10-26,EC2,81.67,26.42,65.03,230.15,6.89
2025-10-27,Lambda,110.69,73.75,64.74,157.47,12.0
2025-10-28,EC2,96.4,40.71,67.04,324.26,7.61
2025-10-29,EC2,94.38,54.02,36.97,213.24,7.15
2025-10-30,RDS,110.66,55.67,71.35,263.77,5.67
2025-10-31,S3,106.66,44.82,69.19,192.41,8.55
2025-11-01,S3,94.59,61.73,44.75,226.67,9.75
2025-11-02,EC2,117.39,40.5,56.34,241.97,10.73
2025-11-03,Lambda,83.78,67.43,59.41,260.91,12.85
2025-11-04,S3,109.24,23.08,57.98,252.87,11.58
2025-11-05,Lambda,108.9,52.53,65.01,243.61,9.43
2025-11-06,S3,95.36,88.78,81.47,184.25,9.41
2025-11-07,Lambda,104.89,29.99,76.23,171.41,11.53
2025-11-08,RDS,81.23,36.45,40.32,216.63,13.82
2025-11-09,Lambda,113.86,60.28,69.33,246.66,10.38
2025-11-10,RDS,97.23,53.59,79.93,188.86,8.59
2025-11-11,RDS,92.16,57.01,65.8,253.26,7.02
2025-11-12,Lambda,115.74,59.78,76.36,272.63,5.66
2025-11-13,RDS,89.43,62.69,90.18,154.18,12.0
2025-11-14,EC2,78.87,72.19,75.36,158.15,11.73
2025-11-15,RDS,76.65,58.2,63.74,192.98,11.73
2025-11-16,S3,109.09,45.17,75.68,215.38,9.61
2025-11-17,Lambda,80.79,63.45,62.17,173.77,14.22
2025-11-18,EC2,126.32,88.0,60.36,267.61,8.55
2025-11-19,Lambda,68.77,47.35,54.73,221.2,12.87
2025-11-20,S3,125.45,30.51,83.45,201.97,9.88
2025-11-21,S3,103.17,72.14,47.72,128.2,8.17
2025-11-22,S3,98.55,47.59,82.99,134.21,11.78
2025-11-23,RDS,91.83,6.55,67.5,214.05,11.23
2025-11-24,RDS,105.99,66.95,39.01,93.37,11.07
2025-11-25,Lambda,99.44,39.29,65.51,250.63,10.24
2025-11-26,Lambda,116.55,48.19,28.5,192.09,9.89
2025-11-27,EC2,101.71,56.64,69.38,362.15,17.17
2025-11-28,EC2,102.25,53.81,73.28,315.4,13.55
2025-11-29,Lambda,94.55,64.19,51.11,190.93,12.17
2025-11-30,RDS,99.15,41.29,61.85,194.68,10.34
2025-12-01,S3,104.62,60.26,89.31,249.78,13.02
2025-12-02,Lambda,74.35,44.81,52.41,285.16,11.55
2025-12-03,EC2,79.78,64.78,44.12,118.1,10.08
2025-12-04,RDS,111.15,62.31,82.22,110.68,9.09
2025-12-05,Lambda,102.56,31.29,89.44,168.9,9.76
2025-12-06,Lambda,97.24,71.72,60.06,229.14,0.49
2025-12-07,RDS,100.28,39.28,75.17,224.84,10.63
2025-12-08,Lambda,105.21,66.16,80.12,253.49,8.53
2025-12-09,RDS,91.9,57.35,48.86,140.02,14.78
2025-12-10,S3,88.33,86.76,52.72,84.19,10.06
2025-12-11,RDS,102.94,45.53,78.46,242.9,6.43
2025-12-12,RDS,85.32,43.01,85.28,158.59,9.85
2025-12-13,RDS,106.12,49.61,68.44,99.08,6.86
2025-12-14,Lambda,74.46,43.94,46.8,207.25,11.42
2025-12-15,Lambda,115.44,66.0,89.81,239.66,10.87
2025-12-16,RDS,107.09,17.67,52.04,193.9,12.87
2025-12-17,Lambda,103.84,28.93,54.97,177.11,7.63
2025-12-18,EC2,114.74,28.64,65.14,192.03,10.1
2025-12-19,EC2,124.98,69.01,83.31,181.47,5.9
2025-12-20,Lambda,115.22,84.21,72.81,132.6,12.1
2025-12-21,Lambda,72.39,47.91,66.22,164.27,11.56
2025-12-22,RDS,80.81,46.62,66.95,226.06,11.49
2025-12-23,S3,90.63,51.4,60.65,216.08,10.0
2025-12-24,Lambda,100.39,73.24,68.37,208.4,11.24
2025-12-25,EC2,107.76,31.45,22.06,150.24,14.81
2025-12-26,RDS,89.11,54.77,55.55,190.92,9.14
2025-12-27,Lambda,102.8,69.5,63.62,91.15,10.42
2025-12-28,EC2,88.67,60.02,42.73,208.92,6.74
2025-12-29,EC2,90.83,53.79,65.79,271.44,7.4
2025-12-30,S3,78.9,70.02,56.93,126.29,10.29
2025-12-31,RDS,86.15,0.0,86.33,170.7,13.31
2026-01-01,RDS,79.72,63.56,83.6,216.46,9.23
2026-01-02,S3,85.36,36.92,53.01,262.64,9.29
2026-01-03,S3,115.8,13.39,57.74,177.59,8.78
2026-01-04,RDS,85.76,60.22,58.89,165.39,8.4
2026-01-05,RDS,139.49,77.47,53.23,101.55,10.88
2026-01-06,Lambda,107.4,47.25,62.93,205.17,5.51
2026-01-07,Lambda,102.77,69.06,48.63,302.1,13.84
2026-01-08,S3,87.12,82.25,43.04,213.87,8.0
2026-01-09,Lambda,110.5,76.3,69.34,198.89,12.17
2026-01-10,EC2,91.37,82.8,69.44,216.1,6.19
2026-01-11,Lambda,101.83,64.84,47.94,199.45,12.01
2026-01-12,Lambda,138.4,51.51,73.43,159.35,12.02
2026-01-13,EC2,98.56,17.96,50.53,241.16,11.15
2026-01-14,S3,117.24,45.08,63.8,211.29,7.02
2026-01-15,EC2,89.45,33.14,72.31,200.88,10.75
2026-01-16,Lambda,99.48,93.42,59.5,151.23,6.45
2026-01-17,S3,126.56,46.48,66.82,265.18,9.24
2026-01-18,Lambda,90.6,52.46,52.25,233.24,13.09
2026-01-19,EC2,127.19,61.03,57.05,172.35,12.39
2026-01-20,EC2,110.62,50.87,56.91,250.09,10.05
2026-01-21,Lambda,91.56,83.9,48.8,175.12,7.08
2026-01-22,RDS,109.49,37.55,57.35,160.9,11.94
2026-01-23,RDS,114.59,53.89,36.77,162.01,10.06
2026-01-24,EC2,109.33,35.15,52.63,111.45,3.04
2026-01-25,EC2,76.45,23.6,55.73,223.58,12.35
2026-01-26,RDS,89.09,37.76,56.16,108.44,9.93
2026-01-27,RDS,96.29,49.26,56.38,138.58,13.61
2026-01-28,Lambda,98.88,41.41,59.07,96.22,6.71
2026-01-29,Lambda,109.31,36.15,67.19,195.7,0.47
2026-01-30,RDS,102.67,21.87,73.12,192.48,10.84
2026-01-31,Lambda,79.97,48.34,50.25,183.67,10.87
2026-02-01,Lambda,105.7,19.91,41.95,147.87,4.93
2026-02-02,S3,109.16,65.2,44.37,141.39,7.06
2026-02-03,Lambda,108.4,51.65,52.69,223.22,18.27
2026-02-04,EC2,116.21,20.85,54.72,172.47,9.08
2026-02-05,Lambda,112.51,43.82,48.45,215.82,12.19
2026-02-06,Lambda,106.89,34.96,40.56,155.74,8.05
2026-02-07,RDS,98.95,56.38,53.16,209.05,3.73
2026-02-08,EC2,75.09,76.81,62.72,265.16,9.49
2026-02-09,Lambda,106.44,12.5,68.93,229.31,9.2
2026-02-10,Lambda,103.12,52.3,51.64,179.38,8.8
2026-02-11,S3,104.07,46.8,53.81,212.86,9.66
2026-02-12,Lambda,80.85,63.43,46.1,187.97,10.79
2026-02-13,Lambda,83.78,54.26,59.53,200.39,9.55
2026-02-14,S3,115.8,34.96,47.27,183.72,6.21
2026-02-15,RDS,99.41,43.62,68.6,191.78,11.46
2026-02-16,Lambda,110.22,34.08,33.21,210.6,4.15
2026-02-17,S3,100.42,71.52,54.61,150.33,3.85
2026-02-18,EC2,100.45,50.43,64.52,149.21,12.22
2026-02-19,RDS,114.07,88.02,62.76,130.57,11.52
2026-02-20,EC2,92.26,48.79,100.0,119.99,9.83
2026-02-21,EC2,101.44,35.83,65.25,139.14,5.81
2026-02-22,S3,93.07,19.73,44.94,207.97,7.88
2026-02-23,Lambda,93.48,13.94,58.57,155.36,9.21
2026-02-24,S3,95.36,18.32,33.36,225.68,5.21
2026-02-25,S3,103.33,55.34,58.79,201.74,7.78
2026-02-26,S3,92.82,60.17,47.5,101.57,11.96
2026-02-27,S3,118.84,18.38,73.73,232.75,14.28
2026-02-28,RDS,86.58,67.9,51.76,240.54,8.74
2026-03-01,Lambda,97.2,40.34,58.25,150.31,12.27
2026-03-02,EC2,93.4,52.94,50.47,221.01,4.26
2026-03-03,EC2,121.7,82.24,86.08,157.18,11.98
2026-03-04,Lambda,102.95,67.94,55.18,204.88,7.59
2026-03-05,EC2,858.92534925431,95.83414852475131,87.49,136.78,10.92
2026-03-06,Lambda,77.72,32.18,72.21,110.34,9.26
2026-03-07,EC2,104.01,6.96,67.23,180.86,13.96
2026-03-08,S3,113.34,35.62,65.53,193.81,7.38
2026-03-09,EC2,101.23,45.78,65.91,180.12,11.88
2026-03-10,Lambda,115.98,30.26,31.08,140.8,9.16
2026-03-11,Lambda,92.24,47.37,55.82,180.01,9.53
2026-03-12,Lambda,121.14,51.54,72.68,213.46,9.45
2026-03-13,Lambda,134.48,45.5,59.27,197.76,7.46
2026-03-14,Lambda,94.56,37.0,38.92,209.13,9.96
2026-03-15,RDS,93.32,53.37,59.21,166.49,9.81
2026-03-16,RDS,121.8,58.84,85.56,258.59,10.72
2026-03-17,EC2,123.69,28.19,78.7,141.19,10.25
2026-03-18,Lambda,92.16,78.22,59.07,224.38,12.39
2026-03-19,EC2,93.7,48.03,74.27,259.09,12.77
2026-03-20,Lambda,95.77,50.38,54.5,224.05,6.85
2026-03-21,Lambda,79.83,64.16,34.44,189.87,12.61
2026-03-22,RDS,86.22,54.66,46.13,173.59,6.44
